Source.Name,¼Ó¼º,DeployLocationID,Tag,AreaObjectID,#Territory:Position_X,#Territory:Position_Y,Territory:TerritoryType,Territory:Position,Territory:Radius,Territory:Direction
db_area_40000_deploy_location.xlsm,b_0,19,CommonGimmick_Thron,70001,54,23,Position,"{""X"":54,""Y"":23}",0,180
db_area_40000_deploy_location.xlsm,b_0,20,CommonGimmick_Thron,70001,35,17,Position,"{""X"":35,""Y"":17}",0,180
db_area_40000_deploy_location.xlsm,b_0,21,CommonGimmick_Thron,70001,49,16,Position,"{""X"":49,""Y"":16}",0,180
db_area_40000_deploy_location.xlsm,b_0,22,CommonGimmick_Thron,70001,51,20,Position,"{""X"":51,""Y"":20}",0,180
db_area_40000_deploy_location.xlsm,b_0,23,CommonGimmick_Thron,70001,57,24,Position,"{""X"":57,""Y"":24}",0,180
db_area_40000_deploy_location.xlsm,b_0,24,CommonGimmick_Thron,70001,57,21,Position,"{""X"":57,""Y"":21}",0,180
db_area_40001_deploy_location.xlsm,b_0,1,B0,400030,59,13,Square,"{""X"":59,""Y"":13}",2,180
db_area_40001_deploy_location.xlsm,b_0,2,A0,400020,45,26,Square,"{""X"":45,""Y"":26}",2,180
db_area_40001_deploy_location.xlsm,b_0,3,B0,400030,62,20,Square,"{""X"":62,""Y"":20}",2,180
db_area_40001_deploy_location.xlsm,b_0,4,A0,400020,39,12,Square,"{""X"":39,""Y"":12}",2,180
db_area_40001_deploy_location.xlsm,b_0,5,A0,400020,47,12,Square,"{""X"":47,""Y"":12}",2,180
db_area_40001_deploy_location.xlsm,b_0,6,A0,400020,41,24,Square,"{""X"":41,""Y"":24}",2,180
db_area_40001_deploy_location.xlsm,b_0,7,B0,400030,58,25,Square,"{""X"":58,""Y"":25}",2,180
db_area_40001_deploy_location.xlsm,b_0,8,B0,400030,36,16,Square,"{""X"":36,""Y"":16}",2,180
db_area_40001_deploy_location.xlsm,b_0,9,A0,400020,35,21,Square,"{""X"":35,""Y"":21}",2,180
db_area_40001_deploy_location.xlsm,b_0,10,A0,400020,63,16,Square,"{""X"":63,""Y"":16}",2,180
db_area_40001_deploy_location.xlsm,b_0,11,A0,400020,54,12,Square,"{""X"":54,""Y"":12}",2,180
db_area_40001_deploy_location.xlsm,b_0,12,B0,400030,44,13,Square,"{""X"":44,""Y"":13}",2,180
db_area_40001_deploy_location.xlsm,b_0,13,B0,400030,48,28,Square,"{""X"":48,""Y"":28}",2,180
db_area_40001_deploy_location.xlsm,b_0,14,B0,400030,53,29,Square,"{""X"":53,""Y"":29}",2,180
db_area_40001_deploy_location.xlsm,b_0,15,CommonGimmick_Thron,70001,55,18,Position,"{""X"":55,""Y"":18}",0,180
db_area_40001_deploy_location.xlsm,b_0,16,CommonGimmick_Thron,70001,39,15,Position,"{""X"":39,""Y"":15}",0,180
db_area_40001_deploy_location.xlsm,b_0,17,CommonGimmick_Thron,70001,39,21,Position,"{""X"":39,""Y"":21}",0,180
db_area_40001_deploy_location.xlsm,b_0,18,CommonGimmick_Thron,70001,43,24,Position,"{""X"":43,""Y"":24}",0,180
db_area_40001_deploy_location.xlsm,b_0,19,CommonGimmick_Thron,70001,49,25,Position,"{""X"":49,""Y"":25}",0,180
db_area_40001_deploy_location.xlsm,b_0,20,CommonGimmick_Thron,70001,45,19,Position,"{""X"":45,""Y"":19}",0,180
db_area_40001_deploy_location.xlsm,b_0,21,CommonGimmick_Thron,70001,58,17,Position,"{""X"":58,""Y"":17}",0,180
db_area_40001_deploy_location.xlsm,b_0,22,CommonGimmick_Thron,70001,54,27,Position,"{""X"":54,""Y"":27}",0,180
db_area_40001_deploy_location.xlsm,b_0,23,CommonGimmick_Thron,70001,54,23,Position,"{""X"":54,""Y"":23}",0,180
db_area_40001_deploy_location.xlsm,b_0,24,CommonGimmick_Thron,70001,35,17,Position,"{""X"":35,""Y"":17}",0,180
db_area_40001_deploy_location.xlsm,b_0,25,CommonGimmick_Thron,70001,49,16,Position,"{""X"":49,""Y"":16}",0,180
db_area_40001_deploy_location.xlsm,b_0,26,CommonGimmick_Thron,70001,51,20,Position,"{""X"":51,""Y"":20}",0,180
db_area_40001_deploy_location.xlsm,b_0,27,CommonGimmick_Thron,70001,57,24,Position,"{""X"":57,""Y"":24}",0,180
db_area_40001_deploy_location.xlsm,b_0,28,CommonGimmick_Thron,70001,57,21,Position,"{""X"":57,""Y"":21}",0,180
db_area_40002_deploy_location.xlsm,b_0,1,C0,400040,59,13,Square,"{""X"":59,""Y"":13}",2,180
db_area_40002_deploy_location.xlsm,b_0,2,B0,400030,45,26,Square,"{""X"":45,""Y"":26}",2,180
db_area_40002_deploy_location.xlsm,b_0,3,C0,400040,62,20,Square,"{""X"":62,""Y"":20}",2,180
db_area_40002_deploy_location.xlsm,b_0,4,B0,400030,39,12,Square,"{""X"":39,""Y"":12}",2,180
db_area_40002_deploy_location.xlsm,b_0,5,B0,400030,47,12,Square,"{""X"":47,""Y"":12}",2,180
db_area_40002_deploy_location.xlsm,b_0,6,C0,400040,41,24,Square,"{""X"":41,""Y"":24}",2,180
db_area_40002_deploy_location.xlsm,b_0,7,B0,400030,58,25,Square,"{""X"":58,""Y"":25}",2,180
db_area_40002_deploy_location.xlsm,b_0,8,C0,400040,36,16,Square,"{""X"":36,""Y"":16}",2,180
db_area_40002_deploy_location.xlsm,b_0,9,C1,400041,35,21,Square,"{""X"":35,""Y"":21}",2,180
db_area_40002_deploy_location.xlsm,b_0,10,B0,400030,63,16,Square,"{""X"":63,""Y"":16}",2,180
db_area_40002_deploy_location.xlsm,b_0,11,C0,400040,54,12,Square,"{""X"":54,""Y"":12}",2,180
db_area_40002_deploy_location.xlsm,b_0,12,Elite0,400010,44,13,Square,"{""X"":44,""Y"":13}",2,180
db_area_40002_deploy_location.xlsm,b_0,13,CommonGimmick_Thron,70001,55,18,Position,"{""X"":55,""Y"":18}",0,180
db_area_40002_deploy_location.xlsm,b_0,14,CommonGimmick_Thron,70001,39,15,Position,"{""X"":39,""Y"":15}",0,180
db_area_40002_deploy_location.xlsm,b_0,15,CommonGimmick_Thron,70001,39,21,Position,"{""X"":39,""Y"":21}",0,180
db_area_40002_deploy_location.xlsm,b_0,16,CommonGimmick_Thron,70001,43,24,Position,"{""X"":43,""Y"":24}",0,180
db_area_40002_deploy_location.xlsm,b_0,17,CommonGimmick_Thron,70001,49,25,Position,"{""X"":49,""Y"":25}",0,180
db_area_40002_deploy_location.xlsm,b_0,18,CommonGimmick_Thron,70001,45,19,Position,"{""X"":45,""Y"":19}",0,180
db_area_40002_deploy_location.xlsm,b_0,19,CommonGimmick_Thron,70001,58,17,Position,"{""X"":58,""Y"":17}",0,180
db_area_40002_deploy_location.xlsm,b_0,20,CommonGimmick_Thron,70001,54,27,Position,"{""X"":54,""Y"":27}",0,180
db_area_40002_deploy_location.xlsm,b_0,21,CommonGimmick_Thron,70001,54,23,Position,"{""X"":54,""Y"":23}",0,180
db_area_40002_deploy_location.xlsm,b_0,22,CommonGimmick_Thron,70001,35,17,Position,"{""X"":35,""Y"":17}",0,180
db_area_40002_deploy_location.xlsm,b_0,23,CommonGimmick_Thron,70001,49,16,Position,"{""X"":49,""Y"":16}",0,180
db_area_40002_deploy_location.xlsm,b_0,24,CommonGimmick_Thron,70001,51,20,Position,"{""X"":51,""Y"":20}",0,180
db_area_40002_deploy_location.xlsm,b_0,25,CommonGimmick_Thron,70001,57,24,Position,"{""X"":57,""Y"":24}",0,180
db_area_40002_deploy_location.xlsm,b_0,26,CommonGimmick_Thron,70001,57,21,Position,"{""X"":57,""Y"":21}",0,180
db_area_40003_deploy_location.xlsm,b_0,1,D0,400050,59,13,Square,"{""X"":59,""Y"":13}",2,180
db_area_40003_deploy_location.xlsm,b_0,2,D0,400050,45,26,Square,"{""X"":45,""Y"":26}",2,180
db_area_40003_deploy_location.xlsm,b_0,3,D1,400051,62,20,Square,"{""X"":62,""Y"":20}",2,180
db_area_40003_deploy_location.xlsm,b_0,4,D0,400050,39,12,Square,"{""X"":39,""Y"":12}",2,180
db_area_40003_deploy_location.xlsm,b_0,5,D0,400050,47,12,Square,"{""X"":47,""Y"":12}",2,180
db_area_40003_deploy_location.xlsm,b_0,6,D0,400050,41,24,Square,"{""X"":41,""Y"":24}",2,180
db_area_40003_deploy_location.xlsm,b_0,7,D0,400050,58,25,Square,"{""X"":58,""Y"":25}",2,180
db_area_40003_deploy_location.xlsm,b_0,8,D1,400051,36,16,Square,"{""X"":36,""Y"":16}",2,180
db_area_40003_deploy_location.xlsm,b_0,9,D0,400050,35,21,Square,"{""X"":35,""Y"":21}",2,180
db_area_40003_deploy_location.xlsm,b_0,10,D0,400050,63,16,Square,"{""X"":63,""Y"":16}",2,180
db_area_40003_deploy_location.xlsm,b_0,11,D1,400051,54,12,Square,"{""X"":54,""Y"":12}",2,180
db_area_40003_deploy_location.xlsm,b_0,12,D1,400051,44,13,Square,"{""X"":44,""Y"":13}",2,180
db_area_40003_deploy_location.xlsm,b_0,13,CommonGimmick_Thron,70001,55,18,Position,"{""X"":55,""Y"":18}",0,180
db_area_40003_deploy_location.xlsm,b_0,14,CommonGimmick_Thron,70001,39,15,Position,"{""X"":39,""Y"":15}",0,180
db_area_40003_deploy_location.xlsm,b_0,15,CommonGimmick_Thron,70001,39,21,Position,"{""X"":39,""Y"":21}",0,180
db_area_40003_deploy_location.xlsm,b_0,16,CommonGimmick_Thron,70001,43,24,Position,"{""X"":43,""Y"":24}",0,180
db_area_40003_deploy_location.xlsm,b_0,17,CommonGimmick_Thron,70001,49,25,Position,"{""X"":49,""Y"":25}",0,180
db_area_40003_deploy_location.xlsm,b_0,18,CommonGimmick_Thron,70001,45,19,Position,"{""X"":45,""Y"":19}",0,180
db_area_40003_deploy_location.xlsm,b_0,19,CommonGimmick_Thron,70001,58,17,Position,"{""X"":58,""Y"":17}",0,180
db_area_40003_deploy_location.xlsm,b_0,20,CommonGimmick_Thron,70001,54,27,Position,"{""X"":54,""Y"":27}",0,180
db_area_40003_deploy_location.xlsm,b_0,21,CommonGimmick_Thron,70001,54,23,Position,"{""X"":54,""Y"":23}",0,180
db_area_40003_deploy_location.xlsm,b_0,22,CommonGimmick_Thron,70001,35,17,Position,"{""X"":35,""Y"":17}",0,180
db_area_40003_deploy_location.xlsm,b_0,23,CommonGimmick_Thron,70001,49,16,Position,"{""X"":49,""Y"":16}",0,180
db_area_40003_deploy_location.xlsm,b_0,24,CommonGimmick_Thron,70001,51,20,Position,"{""X"":51,""Y"":20}",0,180
db_area_40003_deploy_location.xlsm,b_0,25,CommonGimmick_Thron,70001,57,24,Position,"{""X"":57,""Y"":24}",0,180
db_area_40003_deploy_location.xlsm,b_0,26,CommonGimmick_Thron,70001,57,21,Position,"{""X"":57,""Y"":21}",0,180
db_area_40004_deploy_location.xlsm,b_0,1,E0,400060,59,13,Square,"{""X"":59,""Y"":13}",2,180
db_area_40004_deploy_location.xlsm,b_0,2,D0,400050,45,26,Square,"{""X"":45,""Y"":26}",2,180
db_area_40004_deploy_location.xlsm,b_0,3,E0,400060,62,20,Square,"{""X"":62,""Y"":20}",2,180
db_area_40004_deploy_location.xlsm,b_0,4,E0,400060,39,12,Square,"{""X"":39,""Y"":12}",2,180
db_area_40004_deploy_location.xlsm,b_0,5,E0,400060,47,12,Square,"{""X"":47,""Y"":12}",2,180
db_area_40004_deploy_location.xlsm,b_0,6,D0,400050,41,24,Square,"{""X"":41,""Y"":24}",2,180
db_area_40004_deploy_location.xlsm,b_0,7,D0,400050,58,25,Square,"{""X"":58,""Y"":25}",2,180
db_area_40004_deploy_location.xlsm,b_0,8,D0,400050,36,16,Square,"{""X"":36,""Y"":16}",2,180
db_area_40004_deploy_location.xlsm,b_0,9,E0,400060,35,21,Square,"{""X"":35,""Y"":21}",2,180
db_area_40004_deploy_location.xlsm,b_0,10,E0,400060,63,16,Square,"{""X"":63,""Y"":16}",2,180
db_area_40004_deploy_location.xlsm,b_0,11,E0,400060,54,12,Square,"{""X"":54,""Y"":12}",2,180
db_area_40004_deploy_location.xlsm,b_0,12,D0,400050,44,13,Square,"{""X"":44,""Y"":13}",2,180
db_area_40004_deploy_location.xlsm,b_0,13,E0,400060,48,28,Square,"{""X"":48,""Y"":28}",2,180
db_area_40004_deploy_location.xlsm,b_0,14,Elite1,400011,53,29,Square,"{""X"":53,""Y"":29}",2,180
db_area_40004_deploy_location.xlsm,b_0,15,CommonGimmick_Thron,70001,55,18,Position,"{""X"":55,""Y"":18}",0,180
db_area_40004_deploy_location.xlsm,b_0,16,CommonGimmick_Thron,70001,39,15,Position,"{""X"":39,""Y"":15}",0,180
db_area_40004_deploy_location.xlsm,b_0,17,CommonGimmick_Thron,70001,39,21,Position,"{""X"":39,""Y"":21}",0,180
db_area_40004_deploy_location.xlsm,b_0,18,CommonGimmick_Thron,70001,43,24,Position,"{""X"":43,""Y"":24}",0,180
db_area_40004_deploy_location.xlsm,b_0,19,CommonGimmick_Thron,70001,49,25,Position,"{""X"":49,""Y"":25}",0,180
db_area_40004_deploy_location.xlsm,b_0,20,CommonGimmick_Thron,70001,45,19,Position,"{""X"":45,""Y"":19}",0,180
db_area_40004_deploy_location.xlsm,b_0,21,CommonGimmick_Thron,70001,58,17,Position,"{""X"":58,""Y"":17}",0,180
db_area_40004_deploy_location.xlsm,b_0,22,CommonGimmick_Thron,70001,54,27,Position,"{""X"":54,""Y"":27}",0,180
db_area_40004_deploy_location.xlsm,b_0,23,CommonGimmick_Thron,70001,54,23,Position,"{""X"":54,""Y"":23}",0,180
db_area_40004_deploy_location.xlsm,b_0,24,CommonGimmick_Thron,70001,35,17,Position,"{""X"":35,""Y"":17}",0,180
db_area_40004_deploy_location.xlsm,b_0,25,CommonGimmick_Thron,70001,49,16,Position,"{""X"":49,""Y"":16}",0,180
db_area_40004_deploy_location.xlsm,b_0,26,CommonGimmick_Thron,70001,51,20,Position,"{""X"":51,""Y"":20}",0,180
db_area_40004_deploy_location.xlsm,b_0,27,CommonGimmick_Thron,70001,57,24,Position,"{""X"":57,""Y"":24}",0,180
db_area_40004_deploy_location.xlsm,b_0,28,CommonGimmick_Thron,70001,57,21,Position,"{""X"":57,""Y"":21}",0,180
db_area_40005_deploy_location.xlsm,b_0,1,A1,400021,59,13,Square,"{""X"":59,""Y"":13}",2,180
db_area_40005_deploy_location.xlsm,b_0,2,A0,400020,45,26,Square,"{""X"":45,""Y"":26}",2,180
db_area_40005_deploy_location.xlsm,b_0,3,A1,400021,62,20,Square,"{""X"":62,""Y"":20}",2,180
db_area_40005_deploy_location.xlsm,b_0,4,A1,400021,39,12,Square,"{""X"":39,""Y"":12}",2,180
db_area_40005_deploy_location.xlsm,b_0,5,A2,400022,47,12,Square,"{""X"":47,""Y"":12}",2,180
db_area_40005_deploy_location.xlsm,b_0,6,A0,400020,41,24,Square,"{""X"":41,""Y"":24}",2,180
db_area_40005_deploy_location.xlsm,b_0,7,A1,400021,58,25,Square,"{""X"":58,""Y"":25}",2,180
db_area_40005_deploy_location.xlsm,b_0,8,A2,400022,36,16,Square,"{""X"":36,""Y"":16}",2,180
db_area_40005_deploy_location.xlsm,b_0,9,A1,400021,35,21,Square,"{""X"":35,""Y"":21}",2,180
db_area_40005_deploy_location.xlsm,b_0,10,A2,400022,63,16,Square,"{""X"":63,""Y"":16}",2,180
db_area_40005_deploy_location.xlsm,b_0,11,Elite0,400010,54,12,Square,"{""X"":54,""Y"":12}",2,180
db_area_40005_deploy_location.xlsm,b_0,12,CommonGimmick_Thron,70001,55,18,Position,"{""X"":55,""Y"":18}",0,180
db_area_40005_deploy_location.xlsm,b_0,13,CommonGimmick_Thron,70001,39,15,Position,"{""X"":39,""Y"":15}",0,180
db_area_40005_deploy_location.xlsm,b_0,14,CommonGimmick_Thron,70001,39,21,Position,"{""X"":39,""Y"":21}",0,180
db_area_40005_deploy_location.xlsm,b_0,15,CommonGimmick_Thron,70001,43,24,Position,"{""X"":43,""Y"":24}",0,180
db_area_40005_deploy_location.xlsm,b_0,16,CommonGimmick_Thron,70001,49,25,Position,"{""X"":49,""Y"":25}",0,180
db_area_40005_deploy_location.xlsm,b_0,17,CommonGimmick_Thron,70001,45,19,Position,"{""X"":45,""Y"":19}",0,180
db_area_40005_deploy_location.xlsm,b_0,18,CommonGimmick_Thron,70001,58,17,Position,"{""X"":58,""Y"":17}",0,180
db_area_40005_deploy_location.xlsm,b_0,19,CommonGimmick_Thron,70001,54,27,Position,"{""X"":54,""Y"":27}",0,180
db_area_40005_deploy_location.xlsm,b_0,20,CommonGimmick_Thron,70001,54,23,Position,"{""X"":54,""Y"":23}",0,180
db_area_40005_deploy_location.xlsm,b_0,21,CommonGimmick_Thron,70001,35,17,Position,"{""X"":35,""Y"":17}",0,180
db_area_40005_deploy_location.xlsm,b_0,22,CommonGimmick_Thron,70001,49,16,Position,"{""X"":49,""Y"":16}",0,180
db_area_40005_deploy_location.xlsm,b_0,23,CommonGimmick_Thron,70001,51,20,Position,"{""X"":51,""Y"":20}",0,180
db_area_40005_deploy_location.xlsm,b_0,24,CommonGimmick_Thron,70001,57,24,Position,"{""X"":57,""Y"":24}",0,180
db_area_40005_deploy_location.xlsm,b_0,25,CommonGimmick_Thron,70001,57,21,Position,"{""X"":57,""Y"":21}",0,180
db_area_40006_deploy_location.xlsm,b_0,1,B0,400030,59,13,Square,"{""X"":59,""Y"":13}",2,180
db_area_40006_deploy_location.xlsm,b_0,2,B1,400031,45,26,Square,"{""X"":45,""Y"":26}",2,180
db_area_40006_deploy_location.xlsm,b_0,3,B0,400030,62,20,Square,"{""X"":62,""Y"":20}",2,180
db_area_40006_deploy_location.xlsm,b_0,4,B0,400030,39,12,Square,"{""X"":39,""Y"":12}",2,180
db_area_40006_deploy_location.xlsm,b_0,5,B1,400031,47,12,Square,"{""X"":47,""Y"":12}",2,180
db_area_40006_deploy_location.xlsm,b_0,6,B1,400031,41,24,Square,"{""X"":41,""Y"":24}",2,180
db_area_40006_deploy_location.xlsm,b_0,7,C1,400041,58,25,Square,"{""X"":58,""Y"":25}",2,180
db_area_40006_deploy_location.xlsm,b_0,8,B1,400031,36,16,Square,"{""X"":36,""Y"":16}",2,180
db_area_40006_deploy_location.xlsm,b_0,9,B1,400031,35,21,Square,"{""X"":35,""Y"":21}",2,180
db_area_40006_deploy_location.xlsm,b_0,10,C1,400041,63,16,Square,"{""X"":63,""Y"":16}",2,180
db_area_40006_deploy_location.xlsm,b_0,11,C1,400041,54,12,Square,"{""X"":54,""Y"":12}",2,180
db_area_40006_deploy_location.xlsm,b_0,12,C1,400041,44,13,Square,"{""X"":44,""Y"":13}",2,180
db_area_40006_deploy_location.xlsm,b_0,13,C1,400041,48,28,Square,"{""X"":48,""Y"":28}",2,180
db_area_40006_deploy_location.xlsm,b_0,14,CommonGimmick_Thron,70001,55,18,Position,"{""X"":55,""Y"":18}",0,180
db_area_40006_deploy_location.xlsm,b_0,15,CommonGimmick_Thron,70001,39,15,Position,"{""X"":39,""Y"":15}",0,180
db_area_40006_deploy_location.xlsm,b_0,16,CommonGimmick_Thron,70001,39,21,Position,"{""X"":39,""Y"":21}",0,180
db_area_40006_deploy_location.xlsm,b_0,17,CommonGimmick_Thron,70001,43,24,Position,"{""X"":43,""Y"":24}",0,180
db_area_40006_deploy_location.xlsm,b_0,18,CommonGimmick_Thron,70001,49,25,Position,"{""X"":49,""Y"":25}",0,180
db_area_40006_deploy_location.xlsm,b_0,19,CommonGimmick_Thron,70001,45,19,Position,"{""X"":45,""Y"":19}",0,180
db_area_40006_deploy_location.xlsm,b_0,20,CommonGimmick_Thron,70001,58,17,Position,"{""X"":58,""Y"":17}",0,180
db_area_40006_deploy_location.xlsm,b_0,21,CommonGimmick_Thron,70001,54,27,Position,"{""X"":54,""Y"":27}",0,180
db_area_40006_deploy_location.xlsm,b_0,22,CommonGimmick_Thron,70001,54,23,Position,"{""X"":54,""Y"":23}",0,180
db_area_40006_deploy_location.xlsm,b_0,23,CommonGimmick_Thron,70001,35,17,Position,"{""X"":35,""Y"":17}",0,180
db_area_40006_deploy_location.xlsm,b_0,24,CommonGimmick_Thron,70001,49,16,Position,"{""X"":49,""Y"":16}",0,180
db_area_40006_deploy_location.xlsm,b_0,25,CommonGimmick_Thron,70001,51,20,Position,"{""X"":51,""Y"":20}",0,180
db_area_40006_deploy_location.xlsm,b_0,26,CommonGimmick_Thron,70001,57,24,Position,"{""X"":57,""Y"":24}",0,180
db_area_40006_deploy_location.xlsm,b_0,27,CommonGimmick_Thron,70001,57,21,Position,"{""X"":57,""Y"":21}",0,180
db_area_40007_deploy_location.xlsm,b_0,1,A2,400022,59,13,Square,"{""X"":59,""Y"":13}",2,180
db_area_40007_deploy_location.xlsm,b_0,2,A2,400022,45,26,Square,"{""X"":45,""Y"":26}",2,180
db_area_40007_deploy_location.xlsm,b_0,3,B1,400031,62,20,Square,"{""X"":62,""Y"":20}",2,180
db_area_40007_deploy_location.xlsm,b_0,4,B1,400031,39,12,Square,"{""X"":39,""Y"":12}",2,180
db_area_40007_deploy_location.xlsm,b_0,5,B1,400031,47,12,Square,"{""X"":47,""Y"":12}",2,180
db_area_40007_deploy_location.xlsm,b_0,6,C1,400041,41,24,Square,"{""X"":41,""Y"":24}",2,180
db_area_40007_deploy_location.xlsm,b_0,7,A2,400022,58,25,Square,"{""X"":58,""Y"":25}",2,180
db_area_40007_deploy_location.xlsm,b_0,8,B1,400031,36,16,Square,"{""X"":36,""Y"":16}",2,180
db_area_40007_deploy_location.xlsm,b_0,9,C1,400041,35,21,Square,"{""X"":35,""Y"":21}",2,180
db_area_40007_deploy_location.xlsm,b_0,10,B1,400031,63,16,Square,"{""X"":63,""Y"":16}",2,180
db_area_40007_deploy_location.xlsm,b_0,11,B1,400031,54,12,Square,"{""X"":54,""Y"":12}",2,180
db_area_40007_deploy_location.xlsm,b_0,12,C1,400041,44,13,Square,"{""X"":44,""Y"":13}",2,180
db_area_40007_deploy_location.xlsm,b_0,13,C1,400041,48,28,Square,"{""X"":48,""Y"":28}",2,180
db_area_40007_deploy_location.xlsm,b_0,14,B1,400031,53,29,Square,"{""X"":53,""Y"":29}",2,180
db_area_40007_deploy_location.xlsm,b_0,15,B1,400031,58,27,Square,"{""X"":58,""Y"":27}",2,180
db_area_40007_deploy_location.xlsm,b_0,16,B1,400031,60,23,Square,"{""X"":60,""Y"":23}",2,180
db_area_40007_deploy_location.xlsm,b_0,17,C1,400041,39,18,Square,"{""X"":39,""Y"":18}",2,180
db_area_40007_deploy_location.xlsm,b_0,18,C2,400042,45,23,Square,"{""X"":45,""Y"":23}",2,180
db_area_40007_deploy_location.xlsm,b_0,19,Boss_0,400000,33,18,Square,"{""X"":33,""Y"":18}",2,180
db_area_40007_deploy_location.xlsm,b_0,20,CommonGimmick_Thron,70001,55,18,Position,"{""X"":55,""Y"":18}",0,180
db_area_40007_deploy_location.xlsm,b_0,21,CommonGimmick_Thron,70001,39,15,Position,"{""X"":39,""Y"":15}",0,180
db_area_40007_deploy_location.xlsm,b_0,22,CommonGimmick_Thron,70001,39,21,Position,"{""X"":39,""Y"":21}",0,180
db_area_40007_deploy_location.xlsm,b_0,23,CommonGimmick_Thron,70001,43,24,Position,"{""X"":43,""Y"":24}",0,180
db_area_40007_deploy_location.xlsm,b_0,24,CommonGimmick_Thron,70001,49,25,Position,"{""X"":49,""Y"":25}",0,180
db_area_40007_deploy_location.xlsm,b_0,25,CommonGimmick_Thron,70001,45,19,Position,"{""X"":45,""Y"":19}",0,180
db_area_40007_deploy_location.xlsm,b_0,26,CommonGimmick_Thron,70001,58,17,Position,"{""X"":58,""Y"":17}",0,180
db_area_40007_deploy_location.xlsm,b_0,27,CommonGimmick_Thron,70001,54,27,Position,"{""X"":54,""Y"":27}",0,180
db_area_40007_deploy_location.xlsm,b_0,28,CommonGimmick_Thron,70001,54,23,Position,"{""X"":54,""Y"":23}",0,180
db_area_40007_deploy_location.xlsm,b_0,29,CommonGimmick_Thron,70001,35,17,Position,"{""X"":35,""Y"":17}",0,180
db_area_40007_deploy_location.xlsm,b_0,30,CommonGimmick_Thron,70001,49,16,Position,"{""X"":49,""Y"":16}",0,180
db_area_40007_deploy_location.xlsm,b_0,31,CommonGimmick_Thron,70001,51,20,Position,"{""X"":51,""Y"":20}",0,180
db_area_40007_deploy_location.xlsm,b_0,32,CommonGimmick_Thron,70001,57,24,Position,"{""X"":57,""Y"":24}",0,180
db_area_40007_deploy_location.xlsm,b_0,33,CommonGimmick_Thron,70001,57,21,Position,"{""X"":57,""Y"":21}",0,180
db_area_40008_deploy_location.xlsm,b_0,1,F0,400070,59,13,Square,"{""X"":59,""Y"":13}",2,180
db_area_40008_deploy_location.xlsm,b_0,2,F0,400070,45,26,Square,"{""X"":45,""Y"":26}",2,180
db_area_40008_deploy_location.xlsm,b_0,3,F0,400070,62,20,Square,"{""X"":62,""Y"":20}",2,180
db_area_40008_deploy_location.xlsm,b_0,4,F0,400070,39,12,Square,"{""X"":39,""Y"":12}",2,180
db_area_40008_deploy_location.xlsm,b_0,5,G0,400080,47,12,Square,"{""X"":47,""Y"":12}",2,180
db_area_40008_deploy_location.xlsm,b_0,6,F0,400070,41,24,Square,"{""X"":41,""Y"":24}",2,180
db_area_40008_deploy_location.xlsm,b_0,7,F0,400070,58,25,Square,"{""X"":58,""Y"":25}",2,180
